,Title,Title_URL,Image,ipclockupoverlay_URL,Title1,Title2,ipcratingstar,Content,Title_new,Clean_content
1925,1926. Pazhagiyathe Pirivatharka,https://www.imdb.com/title/tt13393356/?ref_=sr_t_1926,,https://www.imdb.com/title/tt13393356/?ref_=sr_i_1926,2011,,,"The storyline beautifully portrays the pain, anguish and anger, all related to love, of a disturbed hero who is deserted by his lady love. It projects the emotions of a man who falls in love but is cheated by his lover who marries another man. This betrayal disturbs him to the core that he goes crazy and kidnaps the heroine to a place that nobody knows. Indian cinema is hardly without romance breezing through the storyline and there lots of real stories of lost love for various reasons.",pazhagiyathe pirivatharka,the storyline beautifully portrays the pain anguish and anger all related to love of a disturbed hero who is deserted by his lady love it projects the emotions of a man who falls in love but is cheated by his lover who marries another man this betrayal disturbs him to the core that he goes crazy and kidnaps the heroine to a place that nobody knows indian cinema is hardly without romance breezing through the storyline and there lots of real stories of lost love for various reasons
1926,1927. Kandaen,https://www.imdb.com/title/tt4328102/?ref_=sr_t_1927,"https://m.media-amazon.com/images/M/MV5BYWE5ZmRhYzItODg3ZC00M2ZjLThhNzktZmUwZDcxYzZiNDA4XkEyXkFqcGdeQXVyMTEzNzg0Mjkx._V1_QL75_UY207_CR13,0,140,207_.jpg",https://www.imdb.com/title/tt4328102/?ref_=sr_i_1927,2011,,"4.8
 (40)","Vasant's grandfather sets a condition that he must get married in 30 days. Soon, Vansant falls in love with Narmada and to win her heart, he pretends to be blind.",kandaen,vasant s grandfather sets a condition that he must get married in 30 days soon vansant falls in love with narmada and to win her heart he pretends to be blind
1927,1928. Sattapadi Kutram,https://www.imdb.com/title/tt2256819/?ref_=sr_t_1928,"https://m.media-amazon.com/images/M/MV5BYjA3ZmRkOGMtMGMyYS00OWViLTllOGMtYTJiNjcwZDllY2FmXkEyXkFqcGdeQXVyNjc4ODY3Mzk@._V1_QL75_UY207_CR57,0,140,207_.jpg",https://www.imdb.com/title/tt2256819/?ref_=sr_i_1928,2011,2h 28m,"4.4
 (26)","An advocate faces many obstacles to fight against corrupt senior government functionaries, rampant tax evasion and god-men who sexually exploit their disciples",sattapadi kutram,an advocate faces many obstacles to fight against corrupt senior government functionaries rampant tax evasion and god men who sexually exploit their disciples
1930,1931. Vilaiyaatu Pasange,https://www.imdb.com/title/tt2956422/?ref_=sr_t_1931,"https://m.media-amazon.com/images/M/MV5BY2I1ZjYyM2ItMWM5MS00N2VhLTk2ZDYtMTk3NzYzNzljYjNkXkEyXkFqcGdeQXVyOTA0ODgwMzY@._V1_QL75_UY207_CR1,0,140,207_.jpg",https://www.imdb.com/title/tt2956422/?ref_=sr_i_1931,2011,1h 36m,"6.7
 (20)","a story of a common everyday life situation, set in the neighbourhood of a railway quarters, in the outskirts of Kuala Lumpur where time seems to take a standstill. Here is a place where real characters, real background and real situations intertwine with each other, creating layers of stories and quips on what we call, life. With real families, and friends, you will not find extraordinary, high technological stories of bogus lifestyle and treatments of a silver spoon, instead, you will be enthralled by the simplicity of chaotic life struggles, the beautiful relationship between a man and his son, a man and the apple of his eye, and a funny yet comical bonding among three loyal friends who have each other for love, support and brotherhood.",vilaiyaatu pasange,a story of a common everyday life situation set in the neighbourhood of a railway quarters in the outskirts of kuala lumpur where time seems to take a standstill here is a place where real characters real background and real situations intertwine with each other creating layers of stories and quips on what we call life with real families and friends you will not find extraordinary high technological stories of bogus lifestyle and treatments of a silver spoon instead you will be enthralled by the simplicity of chaotic life struggles the beautiful relationship between a man and his son a man and the apple of his eye and a funny yet comical bonding among three loyal friends who have each other for love support and brotherhood
1932,1933. Naan Sivanagiren,https://www.imdb.com/title/tt13427258/?ref_=sr_t_1933,,https://www.imdb.com/title/tt13427258/?ref_=sr_i_1933,2011,2h,,"Naan Sivanagiren is a 2011 Indian Tamil film, directed by Gnanasekar. The film stars Udhaykarthik, Varsha, Aditya, Premkumar, Sugumar in lead roles. The film had musical score by KS. Manoj. Watch the full movie, Naan Sivanagiren online, only on Eros Now.",naan sivanagiren,naan sivanagiren is a 2011 indian tamil film directed by gnanasekar the film stars udhaykarthik varsha aditya premkumar sugumar in lead roles the film had musical score by ks manoj watch the full movie naan sivanagiren online only on eros now
1934,1935. Mudhal Idam,https://www.imdb.com/title/tt4339008/?ref_=sr_t_1935,"https://m.media-amazon.com/images/M/MV5BYjgxMDc4ZjctMzkwNC00ZjA5LTg1N2QtZDM4YWZkNmE4MmVkXkEyXkFqcGdeQXVyMTEzNzg0Mjkx._V1_QL75_UY207_CR13,0,140,207_.jpg",https://www.imdb.com/title/tt4339008/?ref_=sr_i_1935,2011,2h 25m,,"Mahesh (Vidharth) is a thug in Thanjavur. His only ambition is emerge as the Number 1 rowdy with his name topping the list of wanted criminals in the local police station. He is called 'Yamakunji'(junior lord of dead) by his friends for he wants to send fear in the spine of his opponents. He indulges in all unlawful activities to achieve his mission. But for his mother (Kalairani), he is the best son on earth. She earns her livelihood running an idly shop. Mahesh meets Mythili (Kavitha Nair), a school student and daughter of a bus conductor (Ilavarasu). Though Mahesh is hated by all, Mythili falls for him. However, Mythili's father opposes their affair. Things take a turn when Karuppu Balu (Kishore), the number one rowdy in the area comes out of the jail. Mahesh incurs the wrath of aspiring MLA for no fault of his. Things take a turn, when Mythili elopes from her house and Mahesh is forced to kill Balu. The movie ends with a strong message.",mudhal idam,mahesh vidharth is a thug in thanjavur his only ambition is emerge as the number 1 rowdy with his name topping the list of wanted criminals in the local police station he is called yamakunji junior lord of dead by his friends for he wants to send fear in the spine of his opponents he indulges in all unlawful activities to achieve his mission but for his mother kalairani he is the best son on earth she earns her livelihood running an idly shop mahesh meets mythili kavitha nair a school student and daughter of a bus conductor ilavarasu though mahesh is hated by all mythili falls for him however mythili s father opposes their affair things take a turn when karuppu balu kishore the number one rowdy in the area comes out of the jail mahesh incurs the wrath of aspiring mla for no fault of his things take a turn when mythili elopes from her house and mahesh is forced to kill balu the movie ends with a strong message
1935,1936. Thoonga Nagaram,https://www.imdb.com/title/tt1927165/?ref_=sr_t_1936,"https://m.media-amazon.com/images/M/MV5BZGE1M2UwMzctYWNjYi00MDhlLWJjMWMtOGMyM2U4MzEyMzY5XkEyXkFqcGdeQXVyMTEzNzg0Mjkx._V1_QL75_UY207_CR23,0,140,207_.jpg",https://www.imdb.com/title/tt1927165/?ref_=sr_i_1936,2011,2h 18m,"6.0
 (147)",A story of four friends from different walks of life who get together in an unusual venue in the most unexpected manner.,thoonga nagaram,a story of four friends from different walks of life who get together in an unusual venue in the most unexpected manner
1936,1937. Narthaki,https://www.imdb.com/title/tt1927091/?ref_=sr_t_1937,"https://m.media-amazon.com/images/M/MV5BN2U0YmE3OWEtNTY2MS00Mjc1LWJlOTUtZDZkNmE2Mjc1NjViXkEyXkFqcGdeQXVyNzY1OTE1MTk@._V1_QL75_UY207_CR3,0,140,207_.jpg",https://www.imdb.com/title/tt1927091/?ref_=sr_i_1937,2011,1h 55m,"5.1
 (12)","The journey of an adoloscent boy who transforms into a transgender, the trauma he goes through in the process of discovering himself and how 'she' survives as a winner.",narthaki,the journey of an adoloscent boy who transforms into a transgender the trauma he goes through in the process of discovering himself and how she survives as a winner
1938,1939. Markandeyan,https://www.imdb.com/title/tt4338852/?ref_=sr_t_1939,"https://m.media-amazon.com/images/M/MV5BNWZiZDcxNzYtM2QzZS00OTEyLWI1NjUtMWRjODZhZjhlMjJhXkEyXkFqcGdeQXVyMTEzNzg0Mjkx._V1_QL75_UY207_CR18,0,140,207_.jpg",https://www.imdb.com/title/tt4338852/?ref_=sr_i_1939,2011,2h 15m,"5.4
 (11)","Vittal is a milk vendor who adopts orphans and trains them to become criminals. When Mark, one of his adopted sons falls in love with Divya, he wants to put an end to it.",markandeyan,vittal is a milk vendor who adopts orphans and trains them to become criminals when mark one of his adopted sons falls in love with divya he wants to put an end to it
1939,1940. Bodinayakanur Ganesan,https://www.imdb.com/title/tt13439226/?ref_=sr_t_1940,,https://www.imdb.com/title/tt13439226/?ref_=sr_i_1940,2011,2h 15m,,"Ganesan (Harikumar) and his friend Gilaki (Soori) sell arrack and ganja in Bodinayakkanur and they work for the heartless ruffian Thiruvaachi (Ravi Shankar). Ganesan and Gilaki often go to jail for petty crimes and Ganesan has a mentally-challenged brother Kottaiyan who lives in a special home. One day, Ganesan comes across the nurse Raji (Arundhathi) who cares and shares for others and he falls in love with her. When Ganesan reveals his love, Raji insults him for being a rowdy and advises him to become a good man. Her words shook him so much, that Ganesan all of a sudden has an epileptic seizure in front of her and no one came to help him. Ganesan then decides to earn an honest living but Thiruvaachi who has a grudge against Ganesan tries to stop him. Meanwhile, Thiruvaachi wants to marry his cousin Raji and confronts Ganesan. In the past, Thiruvaachi was the son of the wealthy man Azhagar (L. Raja) while Ganesan was the son of their servant Manikkam (V. Venkatesh). Being constantly and unfavourably compared with Ganesan who was academically-inclined, Thiruvachi had developed a hatred for Ganesan and he had slowly become a wastrel. One day, Thiruvaachi stabbed to death his own father Azhagar in front of Ganesan and a shocked Ganesan had his first epileptic seizure but before dying, Azhagar requested Ganesan to endure Thiruvachi's evil deeds for the good of Kottaiyan. Thiruvaachi left the place and blamed Ganesan for killing his father. The innocent Ganesan spent time in jail and he then became Thiruvaachi's henchman. Back to the present, Ganesan fights back and defeats Thiruvaachi. Raji eventually accepts to marry a reformed Ganesan and they get engaged with the blessings of Raji's mother, Gilaki, Gilaki's newly married wife Annakili (Janaki) and the villagers. Thiruvaachi then abducts Annakili and he threatens to rape her unless Gilaki gives Kottaiyan up. Gilaki surprisingly makes the exchange and he then feels guilty of betraying his best friend. The next day, Gilaki is found hanging from a tree and Annakili reveals everything to Ganesan. Ganesan sets out to find his brother but Thiruvaachi mercilessly kills Kottaiyan. Ganesan and Raji track Thiruvaachi down and they find the dead body of Kottaiyan. Ganesan begins to have an epileptic seizure but he manages to control it and Thiruvaachi attacks the couple. The film ends with Ganesan killing Thiruvaachi.",bodinayakanur ganesan,ganesan harikumar and his friend gilaki soori sell arrack and ganja in bodinayakkanur and they work for the heartless ruffian thiruvaachi ravi shankar ganesan and gilaki often go to jail for petty crimes and ganesan has a mentally challenged brother kottaiyan who lives in a special home one day ganesan comes across the nurse raji arundhathi who cares and shares for others and he falls in love with her when ganesan reveals his love raji insults him for being a rowdy and advises him to become a good man her words shook him so much that ganesan all of a sudden has an epileptic seizure in front of her and no one came to help him ganesan then decides to earn an honest living but thiruvaachi who has a grudge against ganesan tries to stop him meanwhile thiruvaachi wants to marry his cousin raji and confronts ganesan in the past thiruvaachi was the son of the wealthy man azhagar l raja while ganesan was the son of their servant manikkam v venkatesh being constantly and unfavourably compared with ganesan who was academically inclined thiruvachi had developed a hatred for ganesan and he had slowly become a wastrel one day thiruvaachi stabbed to death his own father azhagar in front of ganesan and a shocked ganesan had his first epileptic seizure but before dying azhagar requested ganesan to endure thiruvachi s evil deeds for the good of kottaiyan thiruvaachi left the place and blamed ganesan for killing his father the innocent ganesan spent time in jail and he then became thiruvaachi s henchman back to the present ganesan fights back and defeats thiruvaachi raji eventually accepts to marry a reformed ganesan and they get engaged with the blessings of raji s mother gilaki gilaki s newly married wife annakili janaki and the villagers thiruvaachi then abducts annakili and he threatens to rape her unless gilaki gives kottaiyan up gilaki surprisingly makes the exchange and he then feels guilty of betraying his best friend the next day gilaki is found hanging from a tree and annakili reveals everything to ganesan ganesan sets out to find his brother but thiruvaachi mercilessly kills kottaiyan ganesan and raji track thiruvaachi down and they find the dead body of kottaiyan ganesan begins to have an epileptic seizure but he manages to control it and thiruvaachi attacks the couple the film ends with ganesan killing thiruvaachi
1940,1941. Eththan,https://www.imdb.com/title/tt1961305/?ref_=sr_t_1941,"https://m.media-amazon.com/images/M/MV5BMWQxNTVlNWYtMGUwMy00YWQxLTkxOGItMmM1ZDEzYzliNThlXkEyXkFqcGdeQXVyMTE3MDI3NDg3._V1_QL75_UY207_CR6,0,140,207_.jpg",https://www.imdb.com/title/tt1961305/?ref_=sr_i_1941,2011,2h 22m,"5.1
 (69)","Sathyamurthy alias Sathya (Vimal) is the son of a school teacher (Jayaprakash) in Kumbakonam. Vimal is a happy-go-lucky youngster, who yearns to do business. To achieve his 'mission', he borrows money from all quarters and is almost drowned in debts. Even as his father advices him to start leading life in a right manner, enters Selvi (Sanuksha), a student. Sathya gets acquainted to Selvi and his life takes a turn. Meanwhile, Selvi gets into trouble and the baton is passed on Sathya to ensure that all goes well. How Sathya helps her overcome troubles and does romance blossom between the two forms the rest.",eththan,sathyamurthy alias sathya vimal is the son of a school teacher jayaprakash in kumbakonam vimal is a happy go lucky youngster who yearns to do business to achieve his mission he borrows money from all quarters and is almost drowned in debts even as his father advices him to start leading life in a right manner enters selvi sanuksha a student sathya gets acquainted to selvi and his life takes a turn meanwhile selvi gets into trouble and the baton is passed on sathya to ensure that all goes well how sathya helps her overcome troubles and does romance blossom between the two forms the rest
1942,1943. Illangyan,https://www.imdb.com/title/tt1927056/?ref_=sr_t_1943,"https://m.media-amazon.com/images/M/MV5BOWFkZTA4NGItZTFiZi00NzUwLWFjYmEtNWU0MTg4ZjcwNTU0XkEyXkFqcGdeQXVyMTEzNzg0Mjkx._V1_QL75_UY207_CR11,0,140,207_.jpg",https://www.imdb.com/title/tt1927056/?ref_=sr_i_1943,2011,2h 6m,"5.2
 (21)",Rajanayakam is a ship-building company owner who exploits and tortures his workers. Kargy joins the company and sows the seeds of revolution in the minds of the workers.,illangyan,rajanayakam is a ship building company owner who exploits and tortures his workers kargy joins the company and sows the seeds of revolution in the minds of the workers
1944,1945. Sengadal,https://www.imdb.com/title/tt1683488/?ref_=sr_t_1945,"https://m.media-amazon.com/images/M/MV5BYjlhYmMzOTQtMzI1NC00YWE0LThmN2YtNGI1MWE1ZjQxZmJmXkEyXkFqcGdeQXVyMTU0MzI1OTY@._V1_QL75_UY207_CR77,0,140,207_.jpg",https://www.imdb.com/title/tt1683488/?ref_=sr_i_1945,2011,1h 40m,"5.6
 (29)","Dhanushkodi, the Indo-Sri Lankan border town, is the crucible wherein History is brewing this concoction of defeated lives and exhausted dreams. Manimekalai, the filmmaker, Soori, a half-wit Sri Lankan Tamil Refugee, Munusamy, the fisherman, Rosemary, the social worker in Jesuit Christian Refugee Services, try hard to retain their sanity in this mad jumble. Their interactions with the dead or living refugees, their skirmishes with the Indian and Sri Lankan States, their personal lives overrun by external events - form the kernel of this narration. ,",sengadal,dhanushkodi the indo sri lankan border town is the crucible wherein history is brewing this concoction of defeated lives and exhausted dreams manimekalai the filmmaker soori a half wit sri lankan tamil refugee munusamy the fisherman rosemary the social worker in jesuit christian refugee services try hard to retain their sanity in this mad jumble their interactions with the dead or living refugees their skirmishes with the indian and sri lankan states their personal lives overrun by external events form the kernel of this narration
1945,1946. Sathurangam,https://www.imdb.com/title/tt2084930/?ref_=sr_t_1946,"https://m.media-amazon.com/images/M/MV5BMzEyN2UxNDItMjcwMy00ZDFiLTg2ZmMtMmJiMmU5ZjE3YmRmXkEyXkFqcGdeQXVyMjA4OTI5NDQ@._V1_QL75_UX140_CR0,6,140,207_.jpg",https://www.imdb.com/title/tt2084930/?ref_=sr_i_1946,2011,,"5.8
 (60)","A fearless fighter forced to run around in search of his beloved one, in an act of revenge, is what the movie is all about.",sathurangam,a fearless fighter forced to run around in search of his beloved one in an act of revenge is what the movie is all about
1947,1948. The Market,https://www.imdb.com/title/tt1795678/?ref_=sr_t_1948,,https://www.imdb.com/title/tt1795678/?ref_=sr_i_1948,2011,1h 10m,"6.9
 (13)",The Market looks at the chilling reality of one of the most profitable and dangerous enterprises in the world; the trade in human organs. In the US every day someone dies while waiting for a new kidney; in Canada it's every 3 days. Where to patients go to fill this gap? Will the dangerous commodification of the human body turn the world's slums into body parts reservoirs for the rich?,the market,the market looks at the chilling reality of one of the most profitable and dangerous enterprises in the world the trade in human organs in the us every day someone dies while waiting for a new kidney in canada it s every 3 days where to patients go to fill this gap will the dangerous commodification of the human body turn the world s slums into body parts reservoirs for the rich
1948,1949. Aayiram Vilakku,https://www.imdb.com/title/tt4339040/?ref_=sr_t_1949,"https://m.media-amazon.com/images/M/MV5BNTUzODk2YzAtMDI3Ni00YTg5LWEyOWQtMTAwZWMyZWRhYWI5XkEyXkFqcGdeQXVyOTk3NTc2MzE@._V1_QL75_UY207_CR4,0,140,207_.jpg",https://www.imdb.com/title/tt4339040/?ref_=sr_i_1949,2011,,"5.1
 (22)","When Gopal, a young man, gets adopted by Lingam, an ageing gangster living in Madurai, the latter goes to all extents to protect Lingam from his enemies and the police.",aayiram vilakku,when gopal a young man gets adopted by lingam an ageing gangster living in madurai the latter goes to all extents to protect lingam from his enemies and the police
1949,1950. Vellore Maavattam,https://www.imdb.com/title/tt4339078/?ref_=sr_t_1950,"https://m.media-amazon.com/images/M/MV5BMWQ3M2I4NmYtYjA3OS00OWM0LWFlY2MtYTZjOGY2NWJiNTRiXkEyXkFqcGdeQXVyMjM5NDY4NzU@._V1_QL75_UY207_CR8,0,140,207_.jpg",https://www.imdb.com/title/tt4339078/?ref_=sr_i_1950,2011,2h 24m,"6.0
 (34)","Officer Muthukumar fights against a dreaded don Gurumurthy, but soon he gets embroiled in a brawl with the corrupt system, following the death of Gurumurthy.",vellore maavattam,officer muthukumar fights against a dreaded don gurumurthy but soon he gets embroiled in a brawl with the corrupt system following the death of gurumurthy
1952,1953. Mittai,https://www.imdb.com/title/tt13439128/?ref_=sr_t_1953,,https://www.imdb.com/title/tt13439128/?ref_=sr_i_1953,2011,,,'Mittai' movie revolves around the relationship between a girl and two boys.,mittai,mittai movie revolves around the relationship between a girl and two boys
1953,1954. Vikadakavi,https://www.imdb.com/title/tt2628858/?ref_=sr_t_1954,"https://m.media-amazon.com/images/M/MV5BZTVlNzg5NDctZGFhMy00YWZiLWE1ZWUtODU3YTFhNzRiNDg0XkEyXkFqcGdeQXVyMTEzNzg0Mjkx._V1_QL75_UY207_CR8,0,140,207_.jpg",https://www.imdb.com/title/tt2628858/?ref_=sr_i_1954,2011,,"4.6
 (16)",Vikadakavi is a romantic comedy that revolves around a group of five friends in a village. Vikadakavi is all about the superstitions in the villages; a belief that a baby born in the Tamil month of Aadi will bring bad luck to the family.,vikadakavi,vikadakavi is a romantic comedy that revolves around a group of five friends in a village vikadakavi is all about the superstitions in the villages a belief that a baby born in the tamil month of aadi will bring bad luck to the family
1954,1955. Sankarankovil,https://www.imdb.com/title/tt13439150/?ref_=sr_t_1955,,https://www.imdb.com/title/tt13439150/?ref_=sr_i_1955,2011,,,Sankarankoil is based on the incident that happened thirty years ago in Tamil Nadu. The popular stunt master Kanal Kannan is doing the lead role. New face Roobika is pairing with Kanal Kannan in the film Sankarankoil. Prabhu is doing the role of Muthuvel who lived thirty years back.,sankarankovil,sankarankoil is based on the incident that happened thirty years ago in tamil nadu the popular stunt master kanal kannan is doing the lead role new face roobika is pairing with kanal kannan in the film sankarankoil prabhu is doing the role of muthuvel who lived thirty years back
1956,1957. Maharaja,https://www.imdb.com/title/tt4339116/?ref_=sr_t_1957,"https://m.media-amazon.com/images/M/MV5BNTkwODU2OGUtMDBmOC00NGVhLWJiMDItMjIwMWJhOTc4NGQyXkEyXkFqcGdeQXVyOTk3NTc2MzE@._V1_QL75_UY207_CR11,0,140,207_.jpg",https://www.imdb.com/title/tt4339116/?ref_=sr_i_1957,2011,,,"Bored by his monotonous lifestyle, Mahadevan, a middle-aged family man, longs to live a modern life. However, everything begins to fall apart when he chooses to change his way of living.",maharaja,bored by his monotonous lifestyle mahadevan a middle aged family man longs to live a modern life however everything begins to fall apart when he chooses to change his way of living
1957,1958. Aaranin Kaaval,https://www.imdb.com/title/tt13439502/?ref_=sr_t_1958,,https://www.imdb.com/title/tt13439502/?ref_=sr_i_1958,2011,,,Kadhal Konden fame Ajaay plays a college student who is a part of Friends of Police. He helps the Police department through Friends of Police from the Home Guard (India).,aaranin kaaval,kadhal konden fame ajaay plays a college student who is a part of friends of police he helps the police department through friends of police from the home guard india
1958,1959. Sabash Sariyana Potti,https://www.imdb.com/title/tt13439272/?ref_=sr_t_1959,"https://m.media-amazon.com/images/M/MV5BYzllMjJhNDgtZTYxNS00ZWVhLTlhZGUtYzRjYTM3NjQxOWRhXkEyXkFqcGdeQXVyMTE5NTEyNTg5._V1_QL75_UX140_CR0,1,140,207_.jpg",https://www.imdb.com/title/tt13439272/?ref_=sr_i_1959,2011,,,"An ardent fan idolises and aspires to become like Superstar JR, an actor-turned-politician. However, when he finds out a secret about the actor, he decides to compete with him and enters politics.",sabash sariyana potti,an ardent fan idolises and aspires to become like superstar jr an actor turned politician however when he finds out a secret about the actor he decides to compete with him and enters politics
1960,1961. Pillaiyar Theru Kadaisi Veedu,https://www.imdb.com/title/tt1982143/?ref_=sr_t_1961,,https://www.imdb.com/title/tt1982143/?ref_=sr_i_1961,2011,2h 35m,"5.0
 (17)","Ganesh is the son of a wealthy landlord and lives his life in a crazy way. One day, while he is rushing to a place he bumps into Sandhya and its love at first sight. Can this love change his life?",pillaiyar theru kadaisi veedu,ganesh is the son of a wealthy landlord and lives his life in a crazy way one day while he is rushing to a place he bumps into sandhya and its love at first sight can this love change his life
1961,1962. Margazhi 16,https://www.imdb.com/title/tt13439478/?ref_=sr_t_1962,,https://www.imdb.com/title/tt13439478/?ref_=sr_i_1962,2011,2h,,"In Thoothukudi, in the 1990s, Kathir (Jayanth) is a carefree youngster who spends his time drinking and hanging out with his friends. He lives with his widow mother and sister. His neighbour Jennifer (Srinidhi) is a student in tenth grade and she lives with her parents and two sisters. At first, she hates Kathir thinking that he is a bad person when he talked to her classmate and he had a fight with the rowdy Madamurugan. Jennifer then comes to know that Madamurugan had molested her classmate and Kathir beat him up to punish him. Jennifer slowly develops a soft corner for him and they eventually fall in love with each other. During a dance function, Madamurugan misbehaves with Jennifer and Kathir has again a fight with him thus the police arrest Kathir. At the police station, the police inspector (Srinivas) warns Kathir not to do it again and releases him. The police inspector is, in fact, Jennifer's close relative. Kathir's mother wants him to become a responsible person so she forces Kathir to go to Chennai without delay. Kathir could not tell Jennifer about his departure and he instead decides to go to the nearer city Tirunelveli where one of his uncles live. There, he works in a cinema theatre and often returns to his city to meet Jennifer with the bike of a cinema client. Kathir comes to know that Madamurugan's brother Madasamy (Stunt Silva) has threatened his mother and one night, he beats Madasamy up. Madasamy who couldn't recognize the aggressor in the dark sets out in search of him. Thereafter, Jennifer's father accepts for the marriage but under multiple conditions: his first daughter must get married, Jennifer must finish her studies and Kathir have to earn enough money to marry her. Later, Madasamy finds his aggressor Kathir and he tries to run over Kathir with his vehicle but Kathir avoids it at the last moment and gets hit by another vehicle. Many years later, Jennifer has developed a mental illness and refuses to get married. To treat her, her parents take her to a special place for the mentally ill. There, Jennifer recognizes Kathir who is now a mentally ill person. In a state of shock, Jennifer recollects her past life and she is completely back to her normal self. Jennifer who wants to be with Kathir starts to act like a mentally ill person in front of her parents and they leave her there.",margazhi 16,in thoothukudi in the 1990s kathir jayanth is a carefree youngster who spends his time drinking and hanging out with his friends he lives with his widow mother and sister his neighbour jennifer srinidhi is a student in tenth grade and she lives with her parents and two sisters at first she hates kathir thinking that he is a bad person when he talked to her classmate and he had a fight with the rowdy madamurugan jennifer then comes to know that madamurugan had molested her classmate and kathir beat him up to punish him jennifer slowly develops a soft corner for him and they eventually fall in love with each other during a dance function madamurugan misbehaves with jennifer and kathir has again a fight with him thus the police arrest kathir at the police station the police inspector srinivas warns kathir not to do it again and releases him the police inspector is in fact jennifer s close relative kathir s mother wants him to become a responsible person so she forces kathir to go to chennai without delay kathir could not tell jennifer about his departure and he instead decides to go to the nearer city tirunelveli where one of his uncles live there he works in a cinema theatre and often returns to his city to meet jennifer with the bike of a cinema client kathir comes to know that madamurugan s brother madasamy stunt silva has threatened his mother and one night he beats madasamy up madasamy who couldn t recognize the aggressor in the dark sets out in search of him thereafter jennifer s father accepts for the marriage but under multiple conditions his first daughter must get married jennifer must finish her studies and kathir have to earn enough money to marry her later madasamy finds his aggressor kathir and he tries to run over kathir with his vehicle but kathir avoids it at the last moment and gets hit by another vehicle many years later jennifer has developed a mental illness and refuses to get married to treat her her parents take her to a special place for the mentally ill there jennifer recognizes kathir who is now a mentally ill person in a state of shock jennifer recollects her past life and she is completely back to her normal self jennifer who wants to be with kathir starts to act like a mentally ill person in front of her parents and they leave her there
1962,1963. Theneer Viduthi,https://www.imdb.com/title/tt13439236/?ref_=sr_t_1963,,https://www.imdb.com/title/tt13439236/?ref_=sr_i_1963,2011,,,"A hardworking man in the day, Kumaran (Adith Arun), turns a drunkard by night. He introduces himself as a marriage decorator and falls in love with Valli (Reshmi Menon). Her father (Prabhakar) is a petty (snack) shop owner and a pious man who dislikes drunkards. How Kumaran and Valli fall in love with the approval of Valli's father forms the rest of the story.",theneer viduthi,a hardworking man in the day kumaran adith arun turns a drunkard by night he introduces himself as a marriage decorator and falls in love with valli reshmi menon her father prabhakar is a petty snack shop owner and a pious man who dislikes drunkards how kumaran and valli fall in love with the approval of valli s father forms the rest of the story
